Execucao,R,RMSE,MAE
1,0.8672012716971043,320.9795380479593,193.65562975646878
2,0.8762097813082445,313.09346411025535,187.62368911719938
3,0.8792344583785738,312.1371275091803,189.1677416286149
4,0.8797992070027987,303.3374239046279,183.28643455098933
5,0.8766783191687998,305.379997362588,183.85139269406395
6,0.8881382900557337,295.08196346174003,177.64638318112634
7,0.8742108218579078,313.5189258813831,188.29139459665146
8,0.8855458203787158,306.5618859721212,188.02866438356162
9,0.8700398658940787,316.9465809034167,188.4485083713851
10,0.8792695519681197,313.194484708764,193.39399353120243
