Execucao,R,RMSE,MAE
1,0.986240850137289,112.43750333872151,67.68203522504893
2,0.9857574901766543,114.23782249561495,67.97741112198304
3,0.9848592210075854,117.25116826724341,69.62388372472276
4,0.9852502961867934,117.22102171012178,70.2391943900848
5,0.9855187240216318,116.27237329969225,69.49353555120678
6,0.9845026907678016,119.52551892373826,71.79549249836921
7,0.9856582933281844,114.81344646720218,68.82559849967383
8,0.984850925144612,116.9463440902794,69.03096461187215
9,0.9857993159066248,114.58219629340367,68.90847521200261
10,0.9847794564973618,116.84247516421067,68.46973336594912
