Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2018-04-11,0,0,14.4,82,4.6,1041,11.3,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,1,13.6,81,3.6,886,10.3,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,2,12.7,80,3.9,885,9.3,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,3,11.6,81,3.1,687,8.4,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,4,10.2,83,3.5,554,7.4,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,5,9.7,84,1.7,447,7.1,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,6,9.0,86,2.0,442,6.7,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,7,8.8,85,1.1,438,6.4,0.11,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,8,9.7,77,1.6,519,5.8,0.68,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,9,11.8,59,2.1,975,4.0,1.44,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,10,13.3,51,4.1,1487,3.3,2.17,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,11,14.9,44,4.0,1468,2.7,2.75,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,12,15.7,46,3.9,1132,4.0,3.05,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,13,15.6,38,4.7,1558,1.3,3.32,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,14,16.4,28,3.4,1804,-2.1,3.16,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,15,17.0,28,3.5,1804,-1.6,2.9,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,16,16.9,23,4.4,1938,-4.4,2.39,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,17,16.2,22,4.1,2000,-5.5,1.73,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,18,15.2,21,2.9,2000,-7.0,0.94,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,19,13.2,28,2.9,2000,-4.9,0.22,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,20,11.9,33,2.0,2000,-3.8,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,21,11.0,34,2.1,2000,-4.2,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,22,10.3,42,1.0,1923,-2.0,0.0,0.0,0.0,Spring,No Holiday,No
2018-04-11,0,23,9.7,45,2.0,1969,-1.6,0.0,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,0,14.5,63,0.9,2000,7.5,0.0,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,1,13.9,66,1.0,1960,7.6,0.0,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,2,13.1,73,1.9,1895,8.3,0.0,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,3,12.9,74,1.7,1698,8.3,0.0,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,4,12.0,79,0.6,1351,8.4,0.0,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,5,11.5,80,0.9,974,8.1,0.0,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,6,11.4,80,1.0,885,8.0,0.02,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,7,12.1,71,1.6,876,6.9,0.34,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,8,13.5,63,2.2,1211,6.5,1.01,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,9,15.5,55,1.7,1318,6.4,1.76,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,10,17.3,52,2.3,1235,7.3,2.38,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,11,18.3,51,3.1,1015,7.9,2.84,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,12,19.8,49,2.3,1320,8.7,3.17,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,13,20.7,46,2.9,1078,8.6,3.26,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,14,21.2,47,3.7,1142,9.4,3.22,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,15,20.4,51,4.0,946,9.9,2.87,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,16,19.6,54,3.9,1154,10.0,2.41,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,17,19.2,54,3.4,1075,9.6,1.83,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,18,18.0,61,3.5,790,10.3,1.05,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,19,15.5,74,3.6,675,10.8,0.35,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,20,13.6,82,2.1,520,10.5,0.02,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,21,12.6,85,2.4,460,10.1,0.0,0.0,0.0,Spring,No Holiday,No
2018-05-10,0,22,12.3,85,2.3,452,9.8,0.0,0.0,0.0,Spring,No Holiday,No
