,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Snowfall (cm),Rainfall(mm),Seasons,Weekday,Day,Month
0,292315.580959624,144734.11452379645,37944.095938956234,1853.5846648226427,3246.499146850413,11311.798824805872,42400.859643383985,159.8639037860077,11701.348498210738,37472.87226035756,46084.59382137062,9551.517349028114,22631.183019268814
1,280051.9092394509,139452.1210017948,32893.20267493928,1666.1216793727406,2358.69015705465,7470.047405025344,38707.04510704932,77.03079071597604,13805.084526818788,35756.95486693746,40777.80392262039,8820.962948917475,22314.884580991482
2,290810.2258169264,164070.57001706315,37278.75509298066,1664.027772618772,2370.393922709305,8612.924494486457,43260.677625738506,139.42585599249105,14338.1614156352,29417.591302045796,41064.02973551604,8613.61852547756,22185.175984541187
3,313222.92536343506,168629.7051810659,40378.6015615769,1450.418583681027,2977.5969437216,9059.536804908956,42824.65024817762,130.7625675292984,12592.731053304315,29363.237303187016,41671.83674332344,8883.75643450712,22112.72697765643
4,292777.3346799139,148963.06869493535,39352.837104123624,1511.7896615726354,2545.307032691354,7565.212688913796,56070.04188504072,148.5974170355832,15203.436149905314,33100.16177140586,39148.57826182435,7895.144706388458,19794.22229350647
5,291491.4034324797,143783.28070884827,36045.87472298909,1751.0565163219446,2782.0676139001557,9719.849061300853,37833.154449626614,133.86699714202442,15278.422703049646,37565.41085917642,39919.29688288293,9235.683311308092,25257.54627353693
6,285943.7055728799,142847.4745406055,36318.43278023272,1794.3663487969116,2262.801516960206,8979.980979417951,33573.38071448965,163.65057435897506,17222.770551029826,35217.22228970822,42184.40918567717,8624.511603125653,21579.02661607044
7,306515.2207132892,161897.206030713,46049.56575096857,1921.0098677423532,2552.3708029724285,8483.951167432318,58561.267715897106,124.20625644104439,14645.660225080184,29415.16648875177,47939.06093869699,8689.626480649944,23557.494282904838
8,291997.5500727447,145947.97382034612,41661.85482035832,1855.5878812823157,2791.218237694342,8818.121863631251,41896.73814197244,112.80332029028395,13604.057327178776,33546.05247561696,39996.114062510045,8775.978301872998,19517.93002300935
9,300236.417606044,135361.71560430535,43546.19694150523,1905.3964877892292,2359.1889985554308,9492.131353822904,38037.36621724315,140.9327659304119,16259.158506178923,42591.13173305545,46978.509375605776,8356.936101065377,19544.64153688947
Média,294536.2273456787,149568.7230123474,39146.94173886306,1737.3359464000573,2624.613437310988,8951.35546437457,43316.518174861914,133.11404492220962,14465.08309563917,34344.580135024255,42576.42329300277,8744.773576234078,21849.483158837545
