Execucao,R,RMSE,MAE
1,0.9733712154189307,144.37893026146335,84.88715953582431
2,0.9729094783054247,141.72396088285896,79.37476143089928
3,0.96892452547475,154.57235033630033,84.50590349239806
4,0.9741477587867409,147.86610404978907,83.41844411011414
5,0.9675581989707193,162.2759493855028,89.18162628606268
6,0.9760037868208695,140.1119805681813,79.8055723705268
7,0.972005084844333,146.30820423402633,82.72752673549776
8,0.9715608502117274,156.30889674596034,86.81735375317623
9,0.9710713812000226,149.72488877417004,83.47412754550756
10,0.9689545848200459,156.69292333632163,87.28555145390006
