Execucao,R,RMSE,MAE
1,0.9968215469273985,51.17674964778611,27.40222972082754
2,0.9964020225794233,54.768986857479526,29.617199561896093
3,0.9961870236895453,56.351065728331854,27.697609513825668
4,0.9963359131026791,54.02373363743302,27.584623416343582
5,0.9952470034616423,62.02649110193346,35.957895802097426
6,0.9963486368567972,54.25398011721287,26.859469185951998
7,0.9955377939661895,60.850232736288994,30.840316875123847
8,0.9965648955555547,52.24008471363592,27.42821067569771
9,0.9957403594554772,59.12951436171813,28.790642855044137
10,0.9963372200876506,54.573883756843834,27.003906653357873
