Execucao,R,RMSE,MAE
1,0.8650135803604164,327.1815649448982,193.48894786910196
2,0.8806973497758457,304.0504897022457,181.6319996194825
3,0.8666497221085796,321.3683820947806,191.25329528158298
4,0.8832898197976693,298.60480521885563,180.07899543378994
5,0.8723271856676541,315.471417105888,187.97986872146117
6,0.8808896881054166,313.5326592331378,188.59645738203957
7,0.8613838477123434,331.70584039132416,198.59434931506848
8,0.8808272956527801,306.3372053570361,189.45094368340943
9,0.8803806612171698,311.61173127508425,188.93692732115676
10,0.8581102934813764,327.92102204240643,196.26948630136985
