Execucao,R,RMSE,MAE
1,0.9587827271879029,179.57144659481983,108.43771151139356
2,0.9550605722089474,190.0804561839588,110.30098659984192
3,0.9540323960812638,191.92989255653455,114.44547545594023
4,0.9560026333516963,188.91604128985696,113.73220647702293
5,0.9574642062125194,186.84573595398453,111.45112860995658
6,0.956615946807242,182.30924003177088,110.7387842755699
7,0.9516835034620806,192.81730152744296,113.4596847179717
8,0.9558452852766689,189.2940503635377,114.53429043394429
9,0.9498213474762028,194.10726142029577,113.81953746773654
10,0.9558896728889885,187.17183621422402,111.89536105911651
