Execucao,R,RMSE,MAE
1,0.9901755590206227,91.57496731553456,52.03289356315775
2,0.9905109268709156,89.02938122244356,50.697436548923974
3,0.9903002799187043,90.07549892808748,50.541421561593644
4,0.989996421876496,91.57466702744841,51.68758713401363
5,0.9899597126761629,91.28038340655158,51.691145021265456
6,0.990487530980395,90.15326862901061,51.25243716080284
7,0.9907115107994181,88.93729887950444,50.76217308183029
8,0.9901995043117775,90.34508180218765,50.45200242860064
9,0.9903562333881837,90.90121664477773,51.161631106513966
10,0.990085773217017,91.12863311912955,51.60866799174787
