R_mean,RMSE_mean,MAE_mean,params.kernel,params.C,params.epsilon,params.gamma
0.848748876910499,337.8593252022282,216.68530252540063,rbf,100,0.01,scale
0.7814650566136713,405.9407350067221,273.12628107627876,rbf,100,0.01,0.01
0.8565817218799522,329.7410585959383,209.5420914262229,rbf,100,0.01,0.1
0.8609533466959898,337.64177151240455,213.02581234199965,rbf,100,0.01,0.5
0.8495646195147384,337.68848801757474,216.72855405865297,rbf,100,0.05,scale
0.7821837882346098,405.71182659497237,272.72231417676164,rbf,100,0.05,0.01
0.8565850221012503,329.59361706285523,209.32956407036022,rbf,100,0.05,0.1
0.8614098948764255,337.1054798959702,212.22890941952522,rbf,100,0.05,0.5
0.8501214468953393,337.24287837206555,216.65675342684116,rbf,100,0.1,scale
0.7820375531133335,405.9546482455332,272.8785116967526,rbf,100,0.1,0.01
0.8562639379241908,329.8748857903236,209.29311899661735,rbf,100,0.1,0.1
0.8604060615893575,338.5013439043588,213.57969875524404,rbf,100,0.1,0.5
0.8712316469862431,311.56880456479723,192.22554961071125,rbf,500,0.01,scale
0.8023517471071443,383.08116010498077,255.91320163559507,rbf,500,0.01,0.01
0.8788005513366335,302.5974596338197,185.01064779360286,rbf,500,0.01,0.1
0.9052114102012092,269.82961153418205,165.44090540616648,rbf,500,0.01,0.5
0.8710009425667284,311.7809350145204,192.60452709463294,rbf,500,0.05,scale
0.8031127548058311,382.7309532328554,256.0196418665653,rbf,500,0.05,0.01
0.8788171442137287,302.45464631995617,184.94934257279292,rbf,500,0.05,0.1
0.9052348287211851,269.91659125934075,166.57507697723116,rbf,500,0.05,0.5
0.870728357393166,312.2591762572223,192.51930364743666,rbf,500,0.1,scale
0.8027046907679182,382.6023632851143,256.2731788188382,rbf,500,0.1,0.01
0.8790973091614586,302.42962041726565,184.7078842950585,rbf,500,0.1,0.1
0.9037189603862836,271.7145828396028,166.946571814724,rbf,500,0.1,0.5
0.8815080977255375,299.42690728601053,182.70882148431082,rbf,1000,0.01,scale
0.8114368746157448,375.34187593498956,249.6793603355913,rbf,1000,0.01,0.01
0.8899215704427176,288.64372030394827,174.59158834761314,rbf,1000,0.01,0.1
0.9123290296293793,258.29034175723035,159.45214573768664,rbf,1000,0.01,0.5
0.8812731648373772,300.1117758058142,182.59372313367203,rbf,1000,0.05,scale
0.8113603448218261,375.09668873565,249.25310130312673,rbf,1000,0.05,0.01
0.8894584716096368,289.40855929107965,174.23128130498014,rbf,1000,0.05,0.1
0.9131298375068942,257.2446358138513,159.2181914839212,rbf,1000,0.05,0.5
0.8801956163908222,301.2057379108671,183.8199344188745,rbf,1000,0.1,scale
0.8113351648219117,375.06280611946795,249.33334696873595,rbf,1000,0.1,0.01
0.8900678073961975,289.3766675632223,175.08654853628403,rbf,1000,0.1,0.1
0.91301820598157,257.002570077096,159.49514540295854,rbf,1000,0.1,0.5
0.8860492509255536,293.73153256977696,178.0487773248062,rbf,1500,0.01,scale
0.8165424547963365,370.281706413491,245.53213417747233,rbf,1500,0.01,0.01
0.8940751657095201,283.58231743307573,169.81002760406403,rbf,1500,0.01,0.1
0.9155652850983198,253.15934603942665,157.62770590602454,rbf,1500,0.01,0.5
0.8869712216366153,293.14884411905507,177.61811839307921,rbf,1500,0.05,scale
0.8170507164228216,369.8978146539574,245.323124288325,rbf,1500,0.05,0.01
0.8942470841349799,283.4901087640875,170.1139080532736,rbf,1500,0.05,0.1
0.9162069435585117,252.05460372503848,158.28835864690367,rbf,1500,0.05,0.5
0.8875023188706826,291.9439167413364,177.05928156903875,rbf,1500,0.1,scale
0.8163999279367727,370.53101207371196,245.3077196853432,rbf,1500,0.1,0.01
0.8952071257158348,282.7142790196317,170.1054348553433,rbf,1500,0.1,0.1
0.915406680147249,252.8634415581614,159.12440038461475,rbf,1500,0.1,0.5
