,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Snowfall (cm),Rainfall(mm),Seasons,Weekday,Day,Month
0,270730.3502873865,121843.99817317926,89410.00347553151,30363.478100801945,34853.227194426545,83765.87898137694,76165.21931450289,17628.874977429055,13762.132781541364,83084.37056688915,49066.04856770121,27058.926374677743,83752.72199914661
1,274992.96555462835,114293.75081014054,94567.95011807766,25442.92021655715,35083.50698203308,80103.31560078662,77500.59086247705,13259.239874981844,16764.375120867004,78137.85314783812,44388.047040463855,28980.755173318506,78210.63669888696
2,257933.36465301068,117381.57526061921,89202.40407988224,29032.22480806741,35528.57621409329,83499.80647226759,72428.68413162883,14068.057723294303,16728.03206079867,81525.18569029283,46574.05357085308,32007.714526711923,79930.90230897133
3,278751.67754365096,109134.69478103585,81629.48484123737,25288.246327725927,34788.639980051674,75049.03578998092,79423.01208360004,13861.722183869726,13770.439124241635,72540.91054181998,48752.04580153646,29734.822409571345,77749.74941579776
4,278515.07689997647,119436.44075174059,89988.86705084944,27791.834541820404,38985.04030882676,80799.3008386823,76783.89592131981,13352.4017686151,15018.733591495078,76838.44488807363,41874.49854336606,24476.8967488743,82925.17577507
5,269563.32119480654,108653.47996129977,79019.04238428155,24240.757470673707,33510.13186731902,76468.88019449633,75975.48201884526,11371.714252191987,15223.041526119463,71282.96299158686,45088.15230087344,22612.08694737117,77549.60597948205
6,251067.78658853186,110527.84205823128,83724.58024889883,23549.39536694254,36057.80974422922,81006.71442066439,74717.7159520507,11258.840832543758,13544.71351332768,79115.11398847634,45386.64031206684,28023.784035877692,77454.08547856502
7,284543.7728335559,107849.583197755,83673.3117198101,25483.72485719338,35842.02118534313,74501.3907126745,75519.3466305309,12629.356201875687,12912.16343049105,76618.27112732352,44226.24633530061,29972.121465597553,78442.37325775098
8,264409.1342161662,114537.51839683135,89116.18007530567,29879.04744463186,33766.19496569877,78882.27869174872,74660.1851627809,15239.5040255651,15717.840981031473,77692.2208045332,45200.20449029603,29298.650521454354,79500.50837413725
9,268450.4559516889,113946.90190916116,88987.16073571127,24550.65887973592,35386.69776993523,79990.41366465247,80930.51682257,14624.988127641578,15965.60688618541,81698.90848940407,49770.26850095826,30803.5553807426,79299.57372827528
Média,269895.79057234025,113760.5785299994,86931.89847295856,26562.22880141503,35380.18462119567,79406.70153673309,76410.46489003065,13729.469996800815,14940.707901609883,77853.42422362378,46032.62054634158,28296.93135841972,79481.53330160832
