Execucao,R,RMSE,MAE
1,0.9206379616538641,251.10880424780734,154.81406278794492
2,0.9241853188835479,244.39659560404857,150.38953686783256
3,0.9297184234629091,234.46726325661598,149.48401621596156
4,0.923624471265319,240.72867737818103,147.7450571053765
5,0.9261797589076028,244.7395149739908,149.8823504708798
6,0.9217027600925712,241.27056763315903,149.65597071409127
7,0.9225376041055675,240.98694050260787,149.96039066697577
8,0.9202517901979282,244.6393379360429,152.8622600040657
9,0.9257808052514325,239.23996198785375,151.09797252956346
10,0.9286571492087177,238.71028376005643,150.65097082791002
